day,p1,n1,p2,n2,p3,n3,updown
2014/5/5,13,4,0,2,8,0,0.995
2014/5/6,4,2,0,1,0,0,0.685
2014/5/7,0,0,0,0,0,0,-17.955
2014/5/8,5,3,0,1,0,0,5.191
2014/5/9,4,0,0,0,0,0,-4.139
2014/5/12,10,3,1,1,8,0,41.736
2014/5/13,0,0,1,4,13,4,-2.143
2014/5/14,8,4,0,1,0,0,-2.818
2014/5/15,5,2,2,2,16,1,-22.936
2014/5/16,23,4,0,0,7,5,1.53
2014/5/19,4,4,0,1,7,5,-21.321
2014/5/20,12,7,0,5,9,6,2.936
2014/5/21,5,2,1,0,13,6,16.832
2014/5/22,4,2,0,1,15,1,-3.666
2014/5/23,6,5,0,0,7,1,13.284
2014/5/26,7,6,0,0,12,2,6.907
2014/5/27,17,6,0,4,8,4,-6.911
2014/5/28,21,3,0,0,11,2,15.663
2014/5/29,8,2,0,0,18,9,-9.633
2014/5/30,3,1,0,0,28,2,-1.383
